sample_index,candidate,global_shift_tv
142,mean_q_softmax,8.847089727481716e-17
142,mass_times_exp_mean_q,4.9439619065339e-17
142,partition_sum,6.938893903907228e-17
143,mean_q_softmax,1.0649575839238867e-16
143,mass_times_exp_mean_q,1.4198982701413287e-16
143,partition_sum,1.623592753297043e-16
144,mean_q_softmax,2.284413977426958e-16
144,mass_times_exp_mean_q,2.684484579074109e-16
144,partition_sum,1.1405806854547507e-16
145,mean_q_softmax,7.806255641895632e-17
145,mass_times_exp_mean_q,7.112366251504909e-17
145,partition_sum,4.5102810375396984e-17
146,mean_q_softmax,2.3971710033654503e-16
146,mass_times_exp_mean_q,2.0361316799277773e-16
146,partition_sum,9.345822726825048e-17
147,mean_q_softmax,9.194034422677078e-17
147,mass_times_exp_mean_q,1.942890293094024e-16
147,partition_sum,1.3183898417423734e-16
148,mean_q_softmax,1.8443634206694037e-16
148,mass_times_exp_mean_q,1.8645566861319463e-16
148,partition_sum,9.657530851414631e-17
149,mean_q_softmax,8.586881206085195e-17
149,mass_times_exp_mean_q,1.0798653637955624e-16
149,partition_sum,8.630249292984615e-17
150,mean_q_softmax,1.474514954580286e-16
150,mass_times_exp_mean_q,1.5612511283791264e-17
150,partition_sum,1.0928757898653885e-16
151,mean_q_softmax,1.1183545409187978e-16
151,mass_times_exp_mean_q,4.683753385137379e-17
151,partition_sum,8.586881206085195e-17
152,mean_q_softmax,9.982791503160282e-17
152,mass_times_exp_mean_q,9.345822726825048e-17
152,partition_sum,2.2854981795994433e-16
153,mean_q_softmax,3.881443777498106e-17
153,mass_times_exp_mean_q,1.0386656812411132e-16
153,partition_sum,1.0885389811754465e-16
154,mean_q_softmax,1.148712201748392e-16
154,mass_times_exp_mean_q,1.1541332126108195e-16
154,partition_sum,1.3254371558635292e-16
155,mean_q_softmax,1.0725469991312853e-16
155,mass_times_exp_mean_q,1.5516288340983175e-16
155,partition_sum,1.2262326570811055e-16
156,mean_q_softmax,2.0212239000561016e-16
156,mass_times_exp_mean_q,3.04118709382184e-16
156,partition_sum,2.3136874360840665e-16
157,mean_q_softmax,1.3874907895793792e-16
157,mass_times_exp_mean_q,3.036511471952996e-16
157,partition_sum,1.353355361805031e-16
158,mean_q_softmax,1.0416472372154484e-16
158,mass_times_exp_mean_q,5.860112742284151e-17
158,partition_sum,1.3769367590565906e-16
159,mean_q_softmax,9.21029745526436e-17
159,mass_times_exp_mean_q,1.347663300399482e-16
159,partition_sum,1.0191500421363742e-16
160,mean_q_softmax,1.497554250745603e-17
160,mass_times_exp_mean_q,1.2880321809127793e-16
160,partition_sum,2.3288662664988635e-16
161,mean_q_softmax,9.410874857174178e-17
161,mass_times_exp_mean_q,1.1188966420050406e-16
161,partition_sum,1.253879812479486e-16
162,mean_q_softmax,4.185020385794047e-17
162,mass_times_exp_mean_q,1.6241348543832856e-16
162,partition_sum,6.548581121812447e-17
163,mean_q_softmax,2.2047928803850536e-16
163,mass_times_exp_mean_q,1.7911019889460533e-16
163,partition_sum,1.249000902703301e-16
164,mean_q_softmax,2.290919190461871e-16
164,mass_times_exp_mean_q,4.8626467435974874e-17
164,partition_sum,8.299567630376536e-17
165,mean_q_softmax,1.9071116214020023e-16
165,mass_times_exp_mean_q,2.6942423986264785e-16
165,partition_sum,1.0603497246908233e-16
166,mean_q_softmax,8.803721640582296e-17
166,mass_times_exp_mean_q,6.418476861114186e-17
166,partition_sum,7.45931094670027e-17
167,mean_q_softmax,8.55435514091063e-17
167,mass_times_exp_mean_q,1.0907073855204175e-16
167,partition_sum,8.868773770931426e-17
168,mean_q_softmax,4.9087253359281213e-17
168,mass_times_exp_mean_q,1.135701775678566e-16
168,partition_sum,1.0045133128078199e-16
169,mean_q_softmax,3.0899761915836876e-17
169,mass_times_exp_mean_q,1.3053794156725473e-16
169,partition_sum,9.958396954279358e-17
170,mean_q_softmax,1.2555061157382141e-16
170,mass_times_exp_mean_q,1.5048726154098802e-16
170,partition_sum,1.448494102440634e-16
171,mean_q_softmax,1.9233746539892849e-16
171,mass_times_exp_mean_q,1.494030593685025e-16
171,partition_sum,7.48099499014998e-17
172,mean_q_softmax,1.1373280789372942e-16
172,mass_times_exp_mean_q,1.0842021724855044e-16
172,partition_sum,7.22078646875346e-17
173,mean_q_softmax,2.164880687910431e-16
173,mass_times_exp_mean_q,1.9044011159707885e-16
173,partition_sum,9.540979117872439e-17
174,mean_q_softmax,1.8106176280507924e-17
174,mass_times_exp_mean_q,4.7271214720367993e-17
174,partition_sum,2.2551405187698492e-17
175,mean_q_softmax,2.0383000842727483e-16
175,mass_times_exp_mean_q,1.6436504934880247e-16
175,partition_sum,7.936359902593892e-17
176,mean_q_softmax,3.7621815385247004e-17
176,mass_times_exp_mean_q,4.401860820291148e-17
176,partition_sum,7.686993402922226e-17
177,mean_q_softmax,1.6745502554038616e-16
177,mass_times_exp_mean_q,2.0822102722584113e-16
177,partition_sum,1.3357370765021415e-16
178,mean_q_softmax,1.1666015375944028e-16
178,mass_times_exp_mean_q,1.3921155894713877e-16
178,partition_sum,1.7477339020466331e-16
179,mean_q_softmax,3.209238430557093e-17
179,mass_times_exp_mean_q,7.697835424647081e-17
179,partition_sum,4.683753385137379e-17
