sample_index,hierarchical_probability_error,maxent_stationarity_range
136,2.7755575615628914e-17,6.661338147750939e-16
137,5.551115123125783e-17,2.220446049250313e-16
138,2.7755575615628914e-17,3.608224830031759e-16
139,2.7755575615628914e-17,3.3306690738754696e-16
140,6.938893903907228e-18,5.551115123125783e-16
141,1.3877787807814457e-17,4.440892098500626e-16
142,1.1102230246251565e-16,2.220446049250313e-16
143,5.551115123125783e-17,4.440892098500626e-16
144,5.551115123125783e-17,2.220446049250313e-16
145,1.1102230246251565e-16,4.440892098500626e-16
146,2.7755575615628914e-17,2.220446049250313e-16
147,2.7755575615628914e-17,4.440892098500626e-16
148,2.7755575615628914e-17,3.3306690738754696e-16
149,2.7755575615628914e-17,4.440892098500626e-16
150,1.3877787807814457e-17,5.551115123125783e-16
151,2.7755575615628914e-17,4.440892098500626e-16
152,2.7755575615628914e-17,4.440892098500626e-16
153,5.551115123125783e-17,4.440892098500626e-16
154,6.938893903907228e-18,2.220446049250313e-16
155,1.3877787807814457e-17,4.440892098500626e-16
156,5.551115123125783e-17,4.440892098500626e-16
157,5.551115123125783e-17,2.220446049250313e-16
158,5.551115123125783e-17,6.661338147750939e-16
159,1.1102230246251565e-16,2.220446049250313e-16
160,5.551115123125783e-17,4.996003610813204e-16
161,1.3877787807814457e-17,3.3306690738754696e-16
162,2.7755575615628914e-17,5.551115123125783e-16
163,5.551115123125783e-17,3.3306690738754696e-16
164,2.7755575615628914e-17,3.3306690738754696e-16
165,1.6653345369377348e-16,3.3306690738754696e-16
166,5.551115123125783e-17,2.220446049250313e-16
167,5.551115123125783e-17,4.440892098500626e-16
168,6.938893903907228e-17,4.440892098500626e-16
169,5.551115123125783e-17,3.3306690738754696e-16
170,5.551115123125783e-17,3.3306690738754696e-16
171,2.7755575615628914e-17,4.996003610813204e-16
172,1.3877787807814457e-17,4.440892098500626e-16
173,2.7755575615628914e-17,3.3306690738754696e-16
174,5.551115123125783e-17,4.440892098500626e-16
175,2.7755575615628914e-17,3.3306690738754696e-16
176,4.163336342344337e-17,2.7755575615628914e-16
177,5.551115123125783e-17,4.440892098500626e-16
178,1.1102230246251565e-16,4.440892098500626e-16
179,1.1102230246251565e-16,2.220446049250313e-16
180,2.7755575615628914e-17,6.661338147750939e-16
181,5.551115123125783e-17,4.440892098500626e-16
182,2.7755575615628914e-17,3.608224830031759e-16
183,1.1102230246251565e-16,4.440892098500626e-16
184,1.3877787807814457e-17,4.440892098500626e-16
185,6.938893903907228e-18,2.220446049250313e-16
186,6.938893903907228e-17,4.440892098500626e-16
187,5.551115123125783e-17,4.440892098500626e-16
188,1.1102230246251565e-16,4.440892098500626e-16
189,0.0,2.220446049250313e-16
190,1.1102230246251565e-16,4.440892098500626e-16
191,5.551115123125783e-17,2.7755575615628914e-16
192,8.326672684688674e-17,3.3306690738754696e-16
193,6.938893903907228e-18,4.440892098500626e-16
194,4.163336342344337e-17,4.440892098500626e-16
195,2.7755575615628914e-17,3.3306690738754696e-16
196,2.7755575615628914e-17,3.885780586188048e-16
197,2.7755575615628914e-17,5.551115123125783e-16
198,2.7755575615628914e-17,4.440892098500626e-16
199,8.326672684688674e-17,4.440892098500626e-16
200,2.7755575615628914e-17,4.440892098500626e-16
201,2.7755575615628914e-17,2.220446049250313e-16
202,1.3877787807814457e-17,4.996003610813204e-16
203,8.326672684688674e-17,4.440892098500626e-16
204,2.7755575615628914e-17,4.440892098500626e-16
205,1.1102230246251565e-16,4.440892098500626e-16
206,2.7755575615628914e-17,3.3306690738754696e-16
207,6.938893903907228e-18,2.220446049250313e-16
208,1.1102230246251565e-16,4.440892098500626e-16
209,2.7755575615628914e-17,4.440892098500626e-16
210,1.3877787807814457e-17,2.220446049250313e-16
211,5.551115123125783e-17,3.885780586188048e-16
212,5.551115123125783e-17,4.440892098500626e-16
213,1.1102230246251565e-16,2.220446049250313e-16
214,2.7755575615628914e-17,2.7755575615628914e-16
215,1.1102230246251565e-16,1.6653345369377348e-16
216,1.3877787807814457e-17,1.3877787807814457e-16
217,5.551115123125783e-17,1.1102230246251565e-16
218,5.551115123125783e-17,4.440892098500626e-16
219,2.7755575615628914e-17,4.440892098500626e-16
220,1.3877787807814457e-17,3.885780586188048e-16
221,1.6653345369377348e-16,4.440892098500626e-16
222,5.551115123125783e-17,4.440892098500626e-16
223,5.551115123125783e-17,2.220446049250313e-16
224,5.551115123125783e-17,4.440892098500626e-16
225,5.551115123125783e-17,2.498001805406602e-16
226,2.7755575615628914e-17,4.440892098500626e-16
227,5.551115123125783e-17,4.440892098500626e-16
228,5.551115123125783e-17,5.551115123125783e-16
229,4.163336342344337e-17,4.440892098500626e-16
230,2.7755575615628914e-17,4.440892098500626e-16
231,5.551115123125783e-17,4.440892098500626e-16
232,1.3877787807814457e-17,4.440892098500626e-16
233,5.551115123125783e-17,4.440892098500626e-16
234,1.1102230246251565e-16,4.440892098500626e-16
235,5.551115123125783e-17,4.440892098500626e-16
236,1.1102230246251565e-16,4.440892098500626e-16
237,1.3877787807814457e-17,4.440892098500626e-16
238,1.6653345369377348e-16,6.661338147750939e-16
239,5.551115123125783e-17,2.220446049250313e-16
240,2.7755575615628914e-17,4.440892098500626e-16
241,1.1102230246251565e-16,6.661338147750939e-16
242,2.7755575615628914e-17,4.440892098500626e-16
243,5.551115123125783e-17,3.3306690738754696e-16
244,1.734723475976807e-18,2.220446049250313e-16
245,5.551115123125783e-17,4.440892098500626e-16
246,1.3877787807814457e-17,4.440892098500626e-16
247,2.7755575615628914e-17,4.440892098500626e-16
248,1.1102230246251565e-16,4.440892098500626e-16
249,5.551115123125783e-17,3.885780586188048e-16
250,1.1102230246251565e-16,4.440892098500626e-16
251,1.1102230246251565e-16,2.220446049250313e-16
252,1.6653345369377348e-16,2.220446049250313e-16
253,5.551115123125783e-17,6.661338147750939e-16
