sample_index,maximum_recursive_partition_sum_error
719,5.551115123125783e-17
720,4.440892098500626e-16
721,2.7755575615628914e-17
722,8.881784197001252e-16
723,4.440892098500626e-16
724,2.220446049250313e-16
725,2.220446049250313e-16
726,4.440892098500626e-16
727,2.7755575615628914e-17
728,1.7763568394002505e-15
729,8.881784197001252e-16
730,1.1102230246251565e-16
731,2.7755575615628914e-17
732,4.440892098500626e-16
733,1.1102230246251565e-16
734,8.881784197001252e-16
735,4.440892098500626e-16
736,1.7763568394002505e-15
737,5.551115123125783e-17
738,4.440892098500626e-16
739,2.220446049250313e-16
740,0.0
741,2.220446049250313e-16
742,2.220446049250313e-16
743,2.220446049250313e-16
744,0.0
745,4.440892098500626e-16
746,1.1102230246251565e-16
747,1.1102230246251565e-16
748,2.220446049250313e-16
749,4.440892098500626e-16
750,2.220446049250313e-16
751,1.1102230246251565e-16
752,4.440892098500626e-16
753,4.440892098500626e-16
754,5.551115123125783e-17
755,4.440892098500626e-16
756,2.220446049250313e-16
757,2.220446049250313e-16
758,4.440892098500626e-16
759,2.220446049250313e-16
760,4.440892098500626e-16
761,1.7763568394002505e-15
762,2.220446049250313e-16
763,4.440892098500626e-16
764,4.440892098500626e-16
765,2.220446049250313e-16
766,1.1102230246251565e-16
767,4.440892098500626e-16
768,4.440892098500626e-16
769,5.551115123125783e-17
770,5.551115123125783e-17
771,2.220446049250313e-16
772,2.7755575615628914e-17
773,2.220446049250313e-16
774,8.881784197001252e-16
775,4.440892098500626e-16
776,4.440892098500626e-16
777,2.220446049250313e-16
778,2.220446049250313e-16
779,4.440892098500626e-16
780,2.220446049250313e-16
781,0.0
782,0.0
783,2.220446049250313e-16
784,2.220446049250313e-16
785,4.440892098500626e-16
786,8.881784197001252e-16
787,1.1102230246251565e-16
788,2.220446049250313e-16
789,4.440892098500626e-16
790,8.881784197001252e-16
791,4.440892098500626e-16
792,2.220446049250313e-16
793,4.440892098500626e-16
794,5.551115123125783e-17
795,4.440892098500626e-16
796,4.440892098500626e-16
797,4.440892098500626e-16
