sample_index,n,candidate,maximum_pairwise_tree_tv,mean_target_tv,maximum_target_tv
27,11,uniform_child,0.5,0.2403198653198653,0.3434343434343434
27,11,descendant_count,6.245004513516506e-17,3.8163916471489756e-17,6.245004513516506e-17
27,11,base_mass,8.153200337090993e-17,7.228014483236696e-17,1.1275702593849246e-16
27,11,mean_q_softmax,0.46562940711507034,0.35955252863165527,0.4536031203239085
27,11,mass_times_exp_mean_q,0.16940677643248747,0.08822779887740562,0.11664109725943386
27,11,partition_sum,1.0386656812411132e-16,4.188634393035665e-17,8.001412032943023e-17
28,10,uniform_child,0.5555555555555556,0.28472222222222227,0.3666666666666667
28,10,descendant_count,6.938893903907228e-17,3.469446951953614e-17,6.938893903907228e-17
28,10,base_mass,1.0755285551056204e-16,9.425330886140652e-17,1.3530843112619095e-16
28,10,mean_q_softmax,0.7869930468089774,0.42042151420813934,0.5441276086253867
28,10,mass_times_exp_mean_q,0.4355218229542072,0.17735930044136694,0.2749407145522906
28,10,partition_sum,1.1882855810441129e-16,3.642919299551295e-17,8.283304597789254e-17
29,26,uniform_child,0.6168981481481481,0.34179131054131057,0.48717948717948717
29,26,descendant_count,7.632783294297951e-17,2.949029909160572e-17,6.245004513516506e-17
29,26,base_mass,8.413408858487514e-17,3.353798720221827e-17,5.724587470723463e-17
29,26,mean_q_softmax,0.7126052854375441,0.4573532701440917,0.6344761101227183
29,26,mass_times_exp_mean_q,0.20999242583530683,0.12499215051081791,0.16965951831183038
29,26,partition_sum,1.666960840196463e-16,7.683379395680608e-17,1.0636023312082798e-16
30,23,uniform_child,0.607638888888889,0.38174315619967797,0.4734299516908212
30,23,descendant_count,2.0816681711721685e-17,5.782411586589357e-18,1.734723475976807e-17
30,23,base_mass,1.465841337200402e-16,5.182486384480711e-17,9.540979117872439e-17
30,23,mean_q_softmax,0.6873478173750279,0.4185966538840493,0.509048575250946
30,23,mass_times_exp_mean_q,0.20542515184037663,0.1332321027339102,0.17737217623350396
30,23,partition_sum,1.6284716630732277e-16,1.2965250979305823e-16,1.9114484300919443e-16
31,20,uniform_child,0.6579861111111113,0.35949074074074067,0.5
31,20,descendant_count,1.0061396160665481e-16,4.163336342344337e-17,6.591949208711867e-17
