sample_index,offset,effective_distance_scaling_relative_error,normalized_distance_invariance_error,centered_q_invariance_error
60,1.6,3.761282020827001e-16,4.440892098500626e-16,2.220446049250313e-16
61,-2.0,4.4281225002728426e-16,8.881784197001252e-16,6.938893903907228e-16
61,-0.5,2.943218970280009e-16,4.440892098500626e-16,2.220446049250313e-16
61,0.75,3.9587631684757235e-16,4.440892098500626e-16,1.1102230246251565e-16
61,1.6,3.4343168739961014e-16,6.661338147750939e-16,2.220446049250313e-16
62,-2.0,4.2856162242045966e-16,6.661338147750939e-16,4.579669976578771e-16
62,-0.5,3.8250009377659234e-16,4.440892098500626e-16,1.1102230246251565e-16
62,0.75,3.771040359494699e-16,4.440892098500626e-16,1.1102230246251565e-16
62,1.6,4.35335316384474e-16,4.440892098500626e-16,2.220446049250313e-16
63,-2.0,3.6625440832053316e-16,6.661338147750939e-16,4.440892098500626e-16
63,-0.5,3.268896191345159e-16,4.440892098500626e-16,1.1102230246251565e-16
63,0.75,4.001910982132536e-16,4.440892098500626e-16,2.220446049250313e-16
63,1.6,4.0326975318419754e-16,4.440892098500626e-16,2.220446049250313e-16
64,-2.0,3.621625147755385e-16,4.440892098500626e-16,5.551115123125783e-16
64,-0.5,3.00644879008981e-16,4.440892098500626e-16,2.220446049250313e-16
64,0.75,3.4329827388901346e-16,4.440892098500626e-16,1.1102230246251565e-16
64,1.6,4.777888821827345e-16,8.881784197001252e-16,4.440892098500626e-16
65,-2.0,4.567521675827489e-16,4.440892098500626e-16,4.440892098500626e-16
65,-0.5,3.3591553689328004e-16,4.440892098500626e-16,2.220446049250313e-16
65,0.75,2.5297348826142966e-16,2.220446049250313e-16,2.220446049250313e-16
65,1.6,3.578409082648588e-16,4.440892098500626e-16,4.440892098500626e-16
66,-2.0,3.876523427064232e-16,8.881784197001252e-16,6.661338147750939e-16
66,-0.5,3.4188509783304264e-16,4.440892098500626e-16,2.220446049250313e-16
66,0.75,2.6667335480455373e-16,4.440892098500626e-16,2.220446049250313e-16
66,1.6,3.9018436302505405e-16,4.440892098500626e-16,4.440892098500626e-16
67,-2.0,3.895319692619051e-16,6.661338147750939e-16,4.996003610813204e-16
67,-0.5,3.733722939152717e-16,4.440892098500626e-16,1.6653345369377348e-16
67,0.75,4.0779043487792845e-16,6.661338147750939e-16,1.6653345369377348e-16
67,1.6,5.221471663555482e-16,4.440892098500626e-16,4.996003610813204e-16
68,-2.0,4.0410863130052597e-16,8.881784197001252e-16,4.440892098500626e-16
68,-0.5,2.376246443547321e-16,4.440892098500626e-16,1.1102230246251565e-16
68,0.75,3.25919186335345e-16,4.440892098500626e-16,1.3877787807814457e-16
68,1.6,3.463594517571832e-16,6.661338147750939e-16,4.440892098500626e-16
69,-2.0,4.960444506730555e-16,1.1102230246251565e-15,4.996003610813204e-16
69,-0.5,2.413636557278906e-16,4.440892098500626e-16,2.220446049250313e-16
69,0.75,3.1817992938500817e-16,2.220446049250313e-16,2.220446049250313e-16
69,1.6,3.2524328445447777e-16,4.440892098500626e-16,4.440892098500626e-16
70,-2.0,5.357947230316831e-16,4.440892098500626e-16,5.828670879282072e-16
70,-0.5,3.551013011430582e-16,4.440892098500626e-16,2.220446049250313e-16
70,0.75,2.953128315523615e-16,4.440892098500626e-16,2.220446049250313e-16
70,1.6,3.3804271616514413e-16,4.440892098500626e-16,3.3306690738754696e-16
71,-2.0,4.066275874356578e-16,4.440892098500626e-16,3.3306690738754696e-16
71,-0.5,2.8110341369401277e-16,4.440892098500626e-16,2.220446049250313e-16
71,0.75,2.227850364011229e-16,2.220446049250313e-16,2.220446049250313e-16
71,1.6,3.875016603462467e-16,4.440892098500626e-16,3.3306690738754696e-16
