sample_index,lambda,analytical_derivative,numerical_derivative,derivative_error,strictly_negative
25,0.7076620093229503,-0.6668262345507684,-0.6668262345521647,1.3963274980710594e-12,True
26,0.5027649396949484,-1.0742243526438215,-1.0742243526040696,3.975197948591358e-11,True
27,1.5794331339536227,-0.24491868381468632,-0.24491868382270351,8.017198016574412e-12,True
28,3.2758222269763473,-0.04174634546821316,-0.04174634546383338,4.379781259888915e-12,True
29,0.3397846822322529,-1.0916596733340187,-1.091659673307932,2.6086688365012378e-11,True
30,0.25035468370457636,-0.9494459506298762,-0.9494459506154128,1.4463430453304227e-11,True
31,1.5283455747707804,-0.3379366685875838,-0.33793666860959526,2.2011448219672047e-11,True
32,0.7089111138385344,-0.7353800850041202,-0.7353800849929647,1.1155520951433573e-11,True
33,3.4879932493583463,-0.013058642798742944,-0.013058642778229766,2.0513177961811735e-11,True
34,1.4317871457551732,-0.5044374584401599,-0.5044374584373124,2.8475000135586015e-12,True
35,2.029299625090363,-0.13025903459660138,-0.13025903461416632,1.7564949494897064e-11,True
36,3.365492895780267,-0.012066143776203749,-0.012066143795230742,1.9026993522408553e-11,True
37,0.8222438467774904,-0.8302235523965977,-0.8302235523782729,1.832478613295052e-11,True
38,3.086522841563607,-0.08861254647265733,-0.08861254648939719,1.6739859498571263e-11,True
39,0.18128350556735673,-1.0907098739703014,-1.0907098739326715,3.7629899196645056e-11,True
