n,sample_index,order_derived_q_identical,silent_kernel_identical_for_distinct_q,global_gauge_probability_error,row_gauge_probability_error,relabel_equivariance_error,outside_locality_row_error,local_contrast_total_variation,local_log_odds_shift_error,beta_q_scale_degeneracy_error
32,31,True,True,1.1102230246251565e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.14006329983931798,0.0,1.1102230246251565e-16
32,32,True,True,1.6653345369377348e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.5143256085497834,0.0,1.1102230246251565e-16
32,33,True,True,1.6653345369377348e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.24262895681694538,0.0,1.1102230246251565e-16
32,34,True,True,1.6653345369377348e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.5071606666790212,0.0,1.1102230246251565e-16
32,35,True,True,1.6653345369377348e-16,1.6653345369377348e-16,1.1102230246251565e-16,0.0,0.32227725484863695,0.0,1.1102230246251565e-16
32,36,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.3261488365185646,4.440892098500626e-16,1.1102230246251565e-16
32,37,True,True,1.6653345369377348e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.3798440071513045,4.440892098500626e-16,1.1102230246251565e-16
32,38,True,True,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.21861861378962594,4.440892098500626e-16,1.6653345369377348e-16
32,39,True,True,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.14862183968931897,4.440892098500626e-16,5.551115123125783e-17
32,40,True,True,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.329468592399131,4.440892098500626e-16,1.1102230246251565e-16
32,41,True,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.33317799677326543,0.0,1.1102230246251565e-16
32,42,True,True,5.551115123125783e-17,1.6653345369377348e-16,1.1102230246251565e-16,0.0,0.26470051223017743,0.0,1.1102230246251565e-16
32,43,True,True,1.6653345369377348e-16,1.6653345369377348e-16,1.1102230246251565e-16,0.0,0.24259134024507528,0.0,1.1102230246251565e-16
32,44,True,True,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.152228444069419,4.440892098500626e-16,2.220446049250313e-16
32,45,True,True,1.6653345369377348e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.3412548963735712,0.0,2.220446049250313e-16
32,46,True,True,8.326672684688674e-17,1.6653345369377348e-16,1.1102230246251565e-16,0.0,0.1297846802077618,4.440892098500626e-16,1.1102230246251565e-16
32,47,True,True,1.6653345369377348e-16,1.6653345369377348e-16,1.6653345369377348e-16,0.0,0.39436981150777667,0.0,1.1102230246251565e-16
32,48,True,True,1.6653345369377348e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.35595750137521875,4.440892098500626e-16,5.551115123125783e-17
32,49,True,True,1.6653345369377348e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.30438253147058036,0.0,1.1102230246251565e-16
32,50,True,True,2.220446049250313e-16,3.3306690738754696e-16,1.1102230246251565e-16,0.0,0.3454295589498952,4.440892098500626e-16,1.1102230246251565e-16
32,51,True,True,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.10339368127257474,0.0,1.1102230246251565e-16
32,52,True,True,1.6653345369377348e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.3690658736476292,0.0,1.6653345369377348e-16
32,53,True,True,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.26461200044332506,0.0,1.1102230246251565e-16
32,54,True,True,2.220446049250313e-16,1.6653345369377348e-16,1.1102230246251565e-16,0.0,0.17757661497632704,4.440892098500626e-16,2.220446049250313e-16
