sample_index,mode,size,clone_count,target_index,macro_total_variation,maximum_macro_probability_error,refinement_consistent
7,unweighted_z,4,2,2,0.10835534472860607,0.10835534472860608,False
7,weighted_raw,4,2,2,5.898059818321144e-17,5.551115123125783e-17,True
7,weighted_z,4,2,2,6.938893903907228e-17,1.1102230246251565e-16,True
8,unweighted_raw,6,5,2,0.041778705460608,0.04177870546060799,False
8,unweighted_z,6,5,2,0.10246578478128808,0.10246578478128797,False
8,weighted_raw,6,5,2,2.168404344971009e-19,4.336808689942018e-19,True
8,weighted_z,6,5,2,1.205632815803881e-16,2.220446049250313e-16,True
9,unweighted_raw,8,6,2,0.21887629323476376,0.2188762932347637,False
9,unweighted_z,8,6,2,0.22865769761954258,0.22865769761954252,False
9,weighted_raw,8,6,2,3.469446951953614e-18,6.938893903907228e-18,True
9,weighted_z,8,6,2,0.0,0.0,True
10,unweighted_raw,6,2,2,0.09211551583230865,0.0921155158323087,False
10,unweighted_z,6,2,2,0.04247205493105592,0.04247205493105599,False
10,weighted_raw,6,2,2,3.469446951953614e-18,6.938893903907228e-18,True
10,weighted_z,6,2,2,5.0306980803327406e-17,4.163336342344337e-17,True
11,unweighted_raw,5,4,2,0.22941027532086442,0.22941027532086447,False
11,unweighted_z,5,4,2,0.09865061801048888,0.0986506180104889,False
11,weighted_raw,5,4,2,6.938893903907228e-18,1.3877787807814457e-17,True
11,weighted_z,5,4,2,1.1102230246251565e-16,1.1102230246251565e-16,True
12,unweighted_raw,10,4,7,0.30560134120681703,0.3056013412068169,False
12,unweighted_z,10,4,7,0.305275944292312,0.3052759442923121,False
12,weighted_raw,10,4,7,9.80118763926896e-17,5.551115123125783e-17,True
12,weighted_z,10,4,7,1.2880321809127793e-16,1.1102230246251565e-16,True
13,unweighted_raw,8,2,3,0.08216382758766708,0.08216382758766713,False
13,unweighted_z,8,2,3,0.039569402645701836,0.038288566150902203,False
13,weighted_raw,8,2,3,6.938893903907228e-17,5.551115123125783e-17,True
13,weighted_z,8,2,3,0.0,0.0,True
14,unweighted_raw,7,5,1,0.34204636625914936,0.3420463662591493,False
14,unweighted_z,7,5,1,0.33209447264838204,0.332094472648382,False
14,weighted_raw,7,5,1,0.0,0.0,True
14,weighted_z,7,5,1,3.903127820947816e-17,2.7755575615628914e-17,True
15,unweighted_raw,11,3,1,0.12443215840804442,0.12443215840804432,False
15,unweighted_z,11,3,1,0.09483178480767052,0.09483178480767052,False
15,weighted_raw,11,3,1,6.938893903907228e-18,1.3877787807814457e-17,True
15,weighted_z,11,3,1,7.676151381197371e-17,5.551115123125783e-17,True
16,unweighted_raw,7,6,4,0.4082922425430312,0.40829224254303115,False
16,unweighted_z,7,6,4,0.41844085327269775,0.41844085327269775,False
16,weighted_raw,7,6,4,1.3877787807814457e-17,2.7755575615628914e-17,True
16,weighted_z,7,6,4,1.3877787807814457e-17,2.7755575615628914e-17,True
17,unweighted_raw,10,4,7,0.33151479005445095,0.33151479005445095,False
17,unweighted_z,10,4,7,0.3145626489929732,0.3145626489929732,False
17,weighted_raw,10,4,7,2.7755575615628914e-17,5.551115123125783e-17,True
17,weighted_z,10,4,7,2.7755575615628914e-17,5.551115123125783e-17,True
18,unweighted_raw,4,4,3,0.2934864227963786,0.29348642279637865,False
18,unweighted_z,4,4,3,0.1718056514704886,0.1718056514704886,False
18,weighted_raw,4,4,3,0.0,0.0,True
18,weighted_z,4,4,3,0.0,0.0,True
19,unweighted_raw,11,4,10,0.17937317754244758,0.17937317754244766,False
19,unweighted_z,11,4,10,0.14264822247845216,0.14264822247845205,False
19,weighted_raw,11,4,10,1.3877787807814457e-17,2.7755575615628914e-17,True
19,weighted_z,11,4,10,8.023096076392733e-17,4.163336342344337e-17,True
