sample_index,size,fine_count,coarse_count,maximum_nested_weight_error
605,19,5,4,2.842170943040401e-14
606,31,8,7,2.1316282072803006e-14
607,30,5,3,5.684341886080802e-14
608,31,8,7,7.105427357601002e-15
609,29,9,7,1.4210854715202004e-14
610,25,5,3,1.4210854715202004e-13
611,30,5,2,9.094947017729282e-13
612,13,6,4,1.4210854715202004e-14
613,22,8,4,2.842170943040401e-14
614,17,9,4,2.842170943040401e-14
615,12,9,7,3.552713678800501e-15
616,16,8,2,1.1368683772161603e-13
617,20,4,3,2.842170943040401e-14
618,25,4,3,1.7053025658242404e-13
619,27,9,8,7.105427357601002e-15
620,13,5,3,1.4210854715202004e-14
621,28,9,2,4.547473508864641e-13
622,31,7,5,5.684341886080802e-14
623,22,6,2,1.1368683772161603e-13
624,23,8,4,1.4210854715202004e-14
625,20,6,3,8.526512829121202e-14
626,15,9,2,8.526512829121202e-14
627,27,8,6,2.842170943040401e-14
628,23,5,4,8.526512829121202e-14
629,30,4,3,3.410605131648481e-13
630,31,5,4,3.979039320256561e-13
631,15,7,2,2.842170943040401e-14
632,14,4,3,2.842170943040401e-14
633,29,9,5,4.263256414560601e-14
634,27,9,4,5.684341886080802e-14
635,12,4,2,4.263256414560601e-14
636,16,8,5,7.105427357601002e-15
637,23,6,4,8.526512829121202e-14
638,22,7,6,2.1316282072803006e-14
639,20,5,4,8.526512829121202e-14
640,31,8,4,1.4210854715202004e-13
641,32,5,4,3.410605131648481e-13
642,28,7,6,4.263256414560601e-14
643,24,4,2,2.2737367544323206e-13
644,28,9,6,5.684341886080802e-14
645,23,8,2,1.7053025658242404e-13
646,12,9,7,1.7763568394002505e-15
647,16,9,6,3.552713678800501e-15
648,15,7,2,5.684341886080802e-14
649,22,8,5,2.842170943040401e-14
650,22,7,4,4.263256414560601e-14
651,23,7,2,1.1368683772161603e-13
652,19,5,2,8.526512829121202e-14
653,27,4,3,4.547473508864641e-13
654,22,5,3,7.105427357601002e-14
655,27,9,2,1.7053025658242404e-13
656,17,8,4,2.842170943040401e-14
657,22,7,5,2.842170943040401e-14
658,27,4,3,1.1368683772161603e-13
659,22,7,4,2.842170943040401e-14
660,23,4,3,5.684341886080802e-14
661,21,4,3,5.684341886080802e-14
662,13,5,3,2.842170943040401e-14
663,16,5,2,5.684341886080802e-14
664,18,8,7,1.4210854715202004e-14
665,15,5,3,1.4210854715202004e-14
666,22,6,4,2.842170943040401e-14
667,18,9,7,7.105427357601002e-15
668,27,6,4,5.684341886080802e-14
669,23,9,5,2.842170943040401e-14
670,19,4,2,5.684341886080802e-14
671,22,4,3,1.7053025658242404e-13
672,13,4,3,2.842170943040401e-14
673,22,6,5,2.842170943040401e-14
674,16,9,7,1.4210854715202004e-14
675,18,7,4,2.842170943040401e-14
676,17,9,6,7.105427357601002e-15
677,21,5,4,5.684341886080802e-14
678,29,4,3,1.1368683772161603e-13
679,13,9,7,7.105427357601002e-15
680,29,5,4,2.842170943040401e-14
681,28,8,6,2.842170943040401e-14
682,13,6,4,4.263256414560601e-14
683,13,9,6,7.105427357601002e-15
684,26,4,3,1.1368683772161603e-13
685,22,8,7,1.4210854715202004e-14
686,32,7,5,4.263256414560601e-14
687,12,9,2,2.842170943040401e-14
688,18,7,2,2.842170943040401e-14
689,31,9,8,1.4210854715202004e-14
690,32,6,3,1.1368683772161603e-13
691,24,6,2,2.8421709430404007e-13
692,27,4,2,5.684341886080801e-13
693,20,6,2,1.1368683772161603e-13
694,19,6,2,1.1368683772161603e-13
695,17,7,6,7.105427357601002e-15
696,12,6,2,2.842170943040401e-14
697,21,8,7,1.4210854715202004e-14
698,30,7,5,5.684341886080802e-14
699,14,6,4,7.105427357601002e-15
700,31,6,4,8.526512829121202e-14
701,27,4,3,5.684341886080802e-14
702,28,9,4,5.684341886080802e-14
703,31,4,3,5.684341886080802e-14
704,28,4,3,1.1368683772161603e-13
705,30,8,2,2.2737367544323206e-13
706,15,6,2,5.684341886080802e-14
707,28,6,3,1.7053025658242404e-13
708,18,8,2,8.526512829121202e-14
709,12,7,6,1.7763568394002505e-15
710,26,4,2,2.2737367544323206e-13
711,30,8,2,4.547473508864641e-13
712,27,6,4,8.526512829121202e-14
713,19,5,4,2.842170943040401e-14
714,23,7,4,5.684341886080802e-14
