n,sample_index,clone_count,maximum_macro_error,maximum_conservation_error
20,142,2,5.551115123125783e-17,3.1086244689504383e-15
20,143,5,2.7755575615628914e-17,1.6653345369377348e-15
20,144,5,2.7755575615628914e-17,1.9984014443252818e-15
20,145,5,2.7755575615628914e-17,1.9984014443252818e-15
20,146,5,2.7755575615628914e-17,2.220446049250313e-15
20,147,3,5.551115123125783e-17,2.220446049250313e-15
20,148,5,5.551115123125783e-17,2.220446049250313e-15
20,149,4,2.7755575615628914e-17,2.1094237467877974e-15
20,150,5,2.7755575615628914e-17,3.1086244689504383e-15
20,151,3,2.7755575615628914e-17,1.6653345369377348e-15
20,152,4,4.163336342344337e-17,1.7763568394002505e-15
20,153,2,4.163336342344337e-17,1.6653345369377348e-15
20,154,4,4.163336342344337e-17,1.5543122344752192e-15
20,155,3,2.7755575615628914e-17,2.220446049250313e-15
20,156,4,5.551115123125783e-17,2.220446049250313e-15
20,157,4,4.163336342344337e-17,2.220446049250313e-15
20,158,6,2.7755575615628914e-17,2.1094237467877974e-15
20,159,2,4.163336342344337e-17,1.7763568394002505e-15
20,160,5,2.7755575615628914e-17,1.887379141862766e-15
20,161,2,4.163336342344337e-17,2.1094237467877974e-15
20,162,4,4.163336342344337e-17,2.220446049250313e-15
20,163,2,4.163336342344337e-17,1.887379141862766e-15
20,164,3,2.7755575615628914e-17,2.55351295663786e-15
20,165,2,4.163336342344337e-17,1.9984014443252818e-15
20,166,4,2.7755575615628914e-17,1.887379141862766e-15
20,167,4,4.163336342344337e-17,1.9984014443252818e-15
20,168,5,5.551115123125783e-17,1.887379141862766e-15
20,169,2,2.7755575615628914e-17,1.9984014443252818e-15
20,170,6,2.7755575615628914e-17,1.7763568394002505e-15
20,171,4,1.5265566588595902e-16,2.7755575615628914e-15
20,172,3,2.7755575615628914e-17,1.5543122344752192e-15
20,173,2,2.7755575615628914e-17,2.220446049250313e-15
20,174,3,5.551115123125783e-17,2.6645352591003757e-15
20,175,5,2.7755575615628914e-17,1.9984014443252818e-15
20,176,6,4.163336342344337e-17,2.1094237467877974e-15
20,177,6,2.7755575615628914e-17,2.4424906541753444e-15
20,178,6,2.7755575615628914e-17,2.4424906541753444e-15
20,179,5,5.551115123125783e-17,2.3314683517128287e-15
40,0,5,2.0816681711721685e-17,2.1094237467877974e-15
40,1,3,2.7755575615628914e-17,1.5543122344752192e-15
40,2,4,1.3877787807814457e-17,1.4432899320127035e-15
40,3,2,2.0816681711721685e-17,1.887379141862766e-15
40,4,4,2.0816681711721685e-17,1.887379141862766e-15
40,5,6,2.0816681711721685e-17,1.7763568394002505e-15
40,6,4,2.0816681711721685e-17,2.220446049250313e-15
40,7,6,1.3877787807814457e-17,1.7763568394002505e-15
40,8,5,1.3877787807814457e-17,2.1094237467877974e-15
40,9,5,3.469446951953614e-17,2.1094237467877974e-15
40,10,4,1.3877787807814457e-17,2.1094237467877974e-15
40,11,2,2.0816681711721685e-17,1.887379141862766e-15
40,12,2,1.3877787807814457e-17,1.7763568394002505e-15
40,13,6,1.3877787807814457e-17,1.7763568394002505e-15
40,14,4,1.3877787807814457e-17,1.7763568394002505e-15
40,15,4,1.3877787807814457e-17,1.7763568394002505e-15
40,16,3,1.3877787807814457e-17,1.5543122344752192e-15
40,17,3,2.0816681711721685e-17,2.4424906541753444e-15
40,18,3,1.3877787807814457e-17,1.7763568394002505e-15
40,19,6,2.7755575615628914e-17,1.7763568394002505e-15
40,20,2,2.0816681711721685e-17,2.220446049250313e-15
40,21,2,1.3877787807814457e-17,2.6645352591003757e-15
40,22,4,2.0816681711721685e-17,1.887379141862766e-15
40,23,3,2.0816681711721685e-17,1.6653345369377348e-15
40,24,6,1.3877787807814457e-17,2.220446049250313e-15
40,25,3,1.3877787807814457e-17,1.7763568394002505e-15
40,26,6,2.0816681711721685e-17,1.5543122344752192e-15
40,27,4,2.0816681711721685e-17,1.5543122344752192e-15
40,28,6,2.0816681711721685e-17,1.5543122344752192e-15
40,29,5,2.0816681711721685e-17,1.7763568394002505e-15
40,30,2,1.3877787807814457e-17,1.9984014443252818e-15
40,31,4,2.0816681711721685e-17,1.7763568394002505e-15
40,32,3,1.3877787807814457e-17,1.7763568394002505e-15
40,33,2,2.0816681711721685e-17,1.9984014443252818e-15
40,34,6,2.0816681711721685e-17,1.7763568394002505e-15
