sample_index,size,fine_count,coarse_count,maximum_nested_weight_error
408,25,5,3,1.1368683772161603e-13
409,18,8,7,7.105427357601002e-15
410,13,9,7,1.4210854715202004e-14
411,13,6,5,3.552713678800501e-15
412,30,9,3,1.7053025658242404e-13
413,22,9,2,2.2737367544323206e-13
414,29,4,3,2.2737367544323206e-13
415,19,5,4,4.263256414560601e-14
416,18,8,2,5.684341886080802e-14
417,20,5,2,2.2737367544323206e-13
418,24,9,5,8.526512829121202e-14
419,16,9,5,7.105427357601002e-15
420,31,5,2,9.094947017729282e-13
421,21,9,3,2.842170943040401e-14
422,22,5,2,1.1368683772161603e-13
423,17,4,2,5.684341886080802e-14
424,18,5,3,5.684341886080802e-14
425,20,6,2,1.1368683772161603e-13
426,21,7,4,4.263256414560601e-14
427,26,6,5,2.842170943040401e-14
428,13,4,2,1.4210854715202004e-14
429,22,9,6,5.684341886080802e-14
430,22,4,2,1.7053025658242404e-13
431,27,6,3,8.526512829121202e-14
432,26,8,5,5.684341886080802e-14
433,28,9,5,1.4210854715202004e-14
434,12,6,5,7.105427357601002e-15
435,20,7,4,1.1368683772161603e-13
436,14,4,2,8.526512829121202e-14
437,23,4,2,2.2737367544323206e-13
438,17,9,8,3.552713678800501e-15
439,28,6,4,1.1368683772161603e-13
440,12,8,2,5.684341886080802e-14
441,16,4,2,5.684341886080802e-14
442,26,5,2,1.1368683772161603e-13
443,21,4,2,1.1368683772161603e-13
444,12,7,6,2.842170943040401e-14
445,13,9,6,2.1316282072803006e-14
446,23,5,4,1.4210854715202004e-14
447,12,4,3,1.4210854715202004e-14
448,12,7,2,8.526512829121202e-14
449,17,7,6,1.4210854715202004e-14
450,15,6,5,1.4210854715202004e-14
451,31,4,2,1.1368683772161603e-13
452,32,7,5,5.684341886080802e-14
453,15,4,3,2.842170943040401e-14
454,30,4,2,4.547473508864641e-13
455,16,5,3,2.842170943040401e-14
456,22,7,2,1.1368683772161603e-13
457,22,9,5,2.842170943040401e-14
458,15,8,5,2.842170943040401e-14
459,32,9,4,8.526512829121202e-14
460,18,8,7,7.105427357601002e-15
461,22,6,3,5.684341886080802e-14
462,20,8,6,2.842170943040401e-14
463,32,5,3,1.1368683772161603e-13
464,12,9,7,3.552713678800501e-15
465,25,4,3,3.410605131648481e-13
466,20,9,7,1.4210854715202004e-14
467,19,7,4,2.842170943040401e-14
468,30,9,5,7.105427357601002e-14
469,22,7,6,1.4210854715202004e-14
470,13,4,3,2.1316282072803006e-14
471,26,6,2,3.410605131648481e-13
472,13,5,2,2.842170943040401e-14
473,25,8,3,8.526512829121202e-14
474,31,5,3,4.547473508864641e-13
475,15,9,4,2.842170943040401e-14
476,18,4,3,2.842170943040401e-14
477,16,4,2,5.684341886080802e-14
478,29,4,3,4.547473508864641e-13
479,18,7,5,2.842170943040401e-14
480,23,6,5,2.842170943040401e-14
481,18,6,5,2.842170943040401e-14
482,29,4,2,2.2737367544323206e-13
483,23,6,5,5.684341886080802e-14
484,22,9,7,2.842170943040401e-14
485,26,9,8,1.4210854715202004e-14
486,13,4,2,2.842170943040401e-14
487,28,5,4,2.2737367544323206e-13
488,13,9,2,2.842170943040401e-14
489,31,9,2,1.1368683772161603e-13
490,16,9,4,1.4210854715202004e-14
491,27,5,2,1.7053025658242404e-13
492,32,9,6,5.684341886080802e-14
493,21,9,4,4.263256414560601e-14
494,20,6,5,7.105427357601002e-15
495,23,7,5,4.263256414560601e-14
496,32,5,2,6.821210263296962e-13
497,16,5,2,2.842170943040401e-14
498,31,6,4,5.684341886080802e-14
499,13,7,5,1.4210854715202004e-14
500,16,7,2,5.684341886080802e-14
501,23,5,2,1.1368683772161603e-13
502,24,9,5,2.842170943040401e-14
503,15,6,4,7.105427357601002e-15
504,14,7,5,7.105427357601002e-15
505,20,8,5,1.4210854715202004e-14
506,26,9,4,8.526512829121202e-14
507,27,6,5,2.842170943040401e-14
508,30,4,3,1.1368683772161603e-13
509,24,7,5,2.842170943040401e-14
510,32,7,6,1.7053025658242404e-13
511,30,8,7,2.842170943040401e-14
512,32,5,4,1.1368683772161603e-13
513,19,9,6,7.105427357601002e-15
514,29,4,3,1.0231815394945443e-12
515,13,5,4,1.7763568394002505e-15
516,17,4,3,1.4210854715202004e-14
517,32,6,4,1.7053025658242404e-13
518,19,8,4,2.842170943040401e-14
519,12,9,8,3.552713678800501e-15
520,28,8,2,1.7053025658242404e-13
521,28,8,3,1.1368683772161603e-13
522,20,4,3,5.684341886080802e-14
