sample_index,maximum_flow_aggregation_error,maximum_macro_row_sum_error
231,4.440892098500626e-16,6.661338147750939e-16
232,1.1102230246251565e-16,2.220446049250313e-16
233,4.440892098500626e-16,2.220446049250313e-16
234,1.6653345369377348e-16,3.3306690738754696e-16
235,3.885780586188048e-16,4.440892098500626e-16
236,1.3877787807814457e-16,1.1102230246251565e-16
237,1.1102230246251565e-16,2.220446049250313e-16
238,1.1102230246251565e-16,2.220446049250313e-16
239,5.551115123125783e-17,2.220446049250313e-16
240,1.6653345369377348e-16,2.220446049250313e-16
241,1.1102230246251565e-16,4.440892098500626e-16
242,2.220446049250313e-16,2.220446049250313e-16
243,1.1102230246251565e-16,1.1102230246251565e-16
244,1.1102230246251565e-16,2.220446049250313e-16
245,2.220446049250313e-16,1.1102230246251565e-16
246,5.551115123125783e-17,3.3306690738754696e-16
247,2.220446049250313e-16,5.551115123125783e-16
248,1.1102230246251565e-16,2.220446049250313e-16
249,2.220446049250313e-16,4.440892098500626e-16
250,1.1102230246251565e-16,4.440892098500626e-16
251,2.220446049250313e-16,4.440892098500626e-16
252,1.1102230246251565e-16,2.220446049250313e-16
253,1.6653345369377348e-16,2.220446049250313e-16
254,1.6653345369377348e-16,2.220446049250313e-16
255,1.1102230246251565e-16,4.440892098500626e-16
256,1.1102230246251565e-16,2.220446049250313e-16
257,2.7755575615628914e-16,2.220446049250313e-16
258,2.220446049250313e-16,2.220446049250313e-16
259,1.1102230246251565e-16,4.440892098500626e-16
260,4.440892098500626e-16,4.440892098500626e-16
261,3.3306690738754696e-16,4.440892098500626e-16
262,2.7755575615628914e-16,5.551115123125783e-16
263,1.1102230246251565e-16,2.220446049250313e-16
264,2.7755575615628914e-16,2.220446049250313e-16
265,1.1102230246251565e-16,2.220446049250313e-16
266,1.1102230246251565e-16,2.220446049250313e-16
267,1.6653345369377348e-16,2.220446049250313e-16
268,1.1102230246251565e-16,2.220446049250313e-16
269,1.1102230246251565e-16,1.1102230246251565e-16
270,1.1102230246251565e-16,4.440892098500626e-16
271,1.1102230246251565e-16,2.220446049250313e-16
272,1.6653345369377348e-16,4.440892098500626e-16
273,2.220446049250313e-16,2.220446049250313e-16
274,1.1102230246251565e-16,2.220446049250313e-16
275,1.1102230246251565e-16,0.0
276,1.6653345369377348e-16,2.220446049250313e-16
277,2.220446049250313e-16,2.220446049250313e-16
278,1.1102230246251565e-16,0.0
279,5.551115123125783e-17,1.1102230246251565e-16
280,2.220446049250313e-16,4.440892098500626e-16
281,1.1102230246251565e-16,2.220446049250313e-16
282,1.1102230246251565e-16,2.220446049250313e-16
283,1.1102230246251565e-16,2.220446049250313e-16
284,1.1102230246251565e-16,2.220446049250313e-16
285,1.1102230246251565e-16,1.1102230246251565e-16
286,1.1102230246251565e-16,2.220446049250313e-16
287,1.6653345369377348e-16,2.220446049250313e-16
288,2.7755575615628914e-16,2.220446049250313e-16
289,5.551115123125783e-17,1.1102230246251565e-16
290,5.551115123125783e-17,2.220446049250313e-16
291,1.1102230246251565e-16,0.0
292,2.220446049250313e-16,1.1102230246251565e-16
293,2.220446049250313e-16,0.0
294,1.1102230246251565e-16,2.220446049250313e-16
295,5.551115123125783e-17,2.220446049250313e-16
296,8.326672684688674e-17,2.220446049250313e-16
297,5.551115123125783e-16,6.661338147750939e-16
298,3.3306690738754696e-16,4.440892098500626e-16
299,2.220446049250313e-16,0.0
300,5.551115123125783e-17,1.1102230246251565e-16
