sample_index,maximum_count_measure_error
795,2.7755575615628914e-17
796,5.551115123125783e-17
797,5.551115123125783e-17
798,1.3877787807814457e-17
799,2.7755575615628914e-17
800,2.7755575615628914e-17
801,2.7755575615628914e-17
802,0.0
803,1.3877787807814457e-17
804,2.7755575615628914e-17
805,1.3877787807814457e-17
806,2.7755575615628914e-17
807,2.7755575615628914e-17
808,2.7755575615628914e-17
809,2.7755575615628914e-17
810,2.7755575615628914e-17
811,5.551115123125783e-17
812,6.938893903907228e-18
813,6.938893903907228e-18
814,1.3877787807814457e-17
815,1.3877787807814457e-17
816,2.7755575615628914e-17
817,1.3877787807814457e-17
818,2.7755575615628914e-17
819,2.7755575615628914e-17
820,2.7755575615628914e-17
821,0.0
822,2.7755575615628914e-17
823,1.3877787807814457e-17
824,5.551115123125783e-17
825,0.0
826,2.7755575615628914e-17
827,1.1102230246251565e-16
828,5.551115123125783e-17
829,0.0
830,5.551115123125783e-17
831,1.3877787807814457e-17
832,2.7755575615628914e-17
833,1.734723475976807e-18
834,0.0
835,2.7755575615628914e-17
836,2.7755575615628914e-17
837,1.3877787807814457e-17
838,5.551115123125783e-17
839,2.7755575615628914e-17
840,2.7755575615628914e-17
841,5.551115123125783e-17
842,1.3877787807814457e-17
843,2.7755575615628914e-17
844,5.551115123125783e-17
845,2.7755575615628914e-17
846,2.7755575615628914e-17
847,0.0
848,0.0
849,0.0
850,5.551115123125783e-17
851,2.7755575615628914e-17
852,2.7755575615628914e-17
853,5.551115123125783e-17
854,6.938893903907228e-18
855,1.3877787807814457e-17
856,2.7755575615628914e-17
857,1.3877787807814457e-17
858,2.7755575615628914e-17
859,2.7755575615628914e-17
860,0.0
861,1.3877787807814457e-17
862,2.7755575615628914e-17
863,2.7755575615628914e-17
864,1.3877787807814457e-17
865,2.7755575615628914e-17
866,2.7755575615628914e-17
867,2.7755575615628914e-17
868,0.0
869,1.3877787807814457e-17
870,5.551115123125783e-17
871,2.7755575615628914e-17
872,2.7755575615628914e-17
873,2.7755575615628914e-17
874,2.7755575615628914e-17
875,2.7755575615628914e-17
876,2.7755575615628914e-17
877,5.551115123125783e-17
878,5.551115123125783e-17
879,2.7755575615628914e-17
880,2.7755575615628914e-17
881,5.551115123125783e-17
882,2.7755575615628914e-17
883,2.7755575615628914e-17
884,0.0
885,1.3877787807814457e-17
886,1.3877787807814457e-17
887,2.7755575615628914e-17
888,2.7755575615628914e-17
889,5.551115123125783e-17
890,1.3877787807814457e-17
891,1.3877787807814457e-17
892,1.3877787807814457e-17
893,2.7755575615628914e-17
894,2.7755575615628914e-17
895,1.3877787807814457e-17
896,2.7755575615628914e-17
897,2.7755575615628914e-17
898,0.0
899,5.551115123125783e-17
900,1.3877787807814457e-17
901,1.3877787807814457e-17
902,1.3877787807814457e-17
903,2.7755575615628914e-17
904,2.7755575615628914e-17
905,2.7755575615628914e-17
906,6.938893903907228e-18
907,2.7755575615628914e-17
908,2.7755575615628914e-17
909,2.7755575615628914e-17
910,6.938893903907228e-18
911,2.7755575615628914e-17
912,2.7755575615628914e-17
913,5.551115123125783e-17
914,2.7755575615628914e-17
915,2.7755575615628914e-17
916,2.7755575615628914e-17
917,2.7755575615628914e-17
918,2.7755575615628914e-17
919,5.551115123125783e-17
920,1.3877787807814457e-17
921,2.7755575615628914e-17
922,1.1102230246251565e-16
923,2.7755575615628914e-17
924,2.7755575615628914e-17
925,2.7755575615628914e-17
926,2.7755575615628914e-17
927,1.3877787807814457e-17
928,5.551115123125783e-17
929,6.938893903907228e-18
930,2.7755575615628914e-17
931,2.7755575615628914e-17
932,5.551115123125783e-17
933,2.7755575615628914e-17
934,0.0
935,0.0
936,2.7755575615628914e-17
937,2.7755575615628914e-17
938,5.551115123125783e-17
939,2.7755575615628914e-17
940,2.7755575615628914e-17
941,2.7755575615628914e-17
942,0.0
943,2.7755575615628914e-17
944,0.0
945,2.7755575615628914e-17
946,2.7755575615628914e-17
947,1.3877787807814457e-17
948,2.7755575615628914e-17
949,5.551115123125783e-17
950,5.551115123125783e-17
951,5.551115123125783e-17
952,2.7755575615628914e-17
953,2.7755575615628914e-17
954,2.7755575615628914e-17
955,3.469446951953614e-18
956,0.0
957,1.3877787807814457e-17
958,2.7755575615628914e-17
959,0.0
960,5.551115123125783e-17
961,2.7755575615628914e-17
962,2.7755575615628914e-17
963,3.469446951953614e-18
