sample_index,macro_count,first_total_leaves,second_total_leaves,counting_measure_tv
952,4,64,63,0.07266865079365079
953,7,66,115,0.4355731225296443
954,9,100,113,0.19982300884955753
955,12,110,153,0.40843731431966723
956,9,103,101,0.4117081611073729
957,9,80,149,0.3889261744966443
958,13,187,143,0.3097490744549568
959,11,161,124,0.30104187537567617
960,14,203,146,0.4320129563398339
961,4,49,40,0.2760204081632653
962,8,98,100,0.4246938775510204
963,6,70,51,0.15630252100840336
964,4,70,58,0.08325123152709359
965,4,63,70,0.2365079365079365
966,12,169,124,0.41486924985684287
967,5,87,49,0.3185550082101806
968,10,104,112,0.4072802197802198
969,9,134,125,0.29504477611940294
970,5,93,57,0.24052065647990944
971,15,209,172,0.2176477133637476
972,5,38,66,0.3668261562998405
973,3,47,31,0.32669869595058343
974,15,210,222,0.23783783783783785
975,8,132,88,0.2689393939393939
976,5,77,61,0.32275920800510965
977,10,112,145,0.3872536945812808
978,9,121,119,0.30752135564969796
979,5,78,60,0.27692307692307694
980,13,185,166,0.2292738521654184
981,5,73,66,0.22312162723121629
982,10,135,105,0.29523809523809524
983,13,144,145,0.4108237547892721
984,13,150,200,0.22333333333333336
