sample_index,leaf_count,maximum_additive_state_error,maximum_derived_observable_error
764,28,1.4210854715202004e-14,1.4210854715202004e-14
765,59,1.4210854715202004e-14,1.4210854715202004e-14
766,75,1.1368683772161603e-13,1.1368683772161603e-13
767,67,5.684341886080802e-14,5.684341886080802e-14
768,69,2.842170943040401e-14,2.842170943040401e-14
769,70,2.842170943040401e-14,2.842170943040401e-14
770,72,5.684341886080802e-14,5.684341886080802e-14
771,74,5.684341886080802e-14,5.684341886080802e-14
772,15,1.4210854715202004e-14,1.4210854715202004e-14
773,66,5.684341886080802e-14,5.684341886080802e-14
774,36,2.1316282072803006e-14,2.1316282072803006e-14
775,45,4.263256414560601e-14,1.4210854715202004e-14
776,41,1.4210854715202004e-14,1.4210854715202004e-14
777,61,4.263256414560601e-14,2.842170943040401e-14
778,75,7.105427357601002e-14,7.105427357601002e-14
779,25,1.0658141036401503e-14,1.0658141036401503e-14
780,20,3.552713678800501e-15,3.552713678800501e-15
781,39,1.4210854715202004e-14,1.4210854715202004e-14
782,27,1.4210854715202004e-14,1.4210854715202004e-14
783,11,3.552713678800501e-15,3.552713678800501e-15
784,20,3.552713678800501e-15,3.552713678800501e-15
785,23,1.0658141036401503e-14,1.0658141036401503e-14
786,58,5.684341886080802e-14,5.684341886080802e-14
787,57,2.842170943040401e-14,2.842170943040401e-14
788,27,1.4210854715202004e-14,1.4210854715202004e-14
789,47,2.842170943040401e-14,2.842170943040401e-14
790,35,2.1316282072803006e-14,2.1316282072803006e-14
791,31,2.842170943040401e-14,2.842170943040401e-14
792,80,5.684341886080802e-14,5.684341886080802e-14
793,77,1.1368683772161603e-13,1.1368683772161603e-13
794,72,2.842170943040401e-14,2.842170943040401e-14
795,41,2.842170943040401e-14,2.842170943040401e-14
796,18,1.4210854715202004e-14,1.4210854715202004e-14
797,40,2.842170943040401e-14,2.842170943040401e-14
798,18,3.552713678800501e-15,3.552713678800501e-15
799,57,2.842170943040401e-14,2.842170943040401e-14
800,21,1.4210854715202004e-14,1.4210854715202004e-14
801,66,8.526512829121202e-14,8.526512829121202e-14
802,75,5.684341886080802e-14,5.684341886080802e-14
803,39,1.4210854715202004e-14,1.4210854715202004e-14
804,46,5.684341886080802e-14,5.684341886080802e-14
805,17,3.552713678800501e-15,3.552713678800501e-15
806,76,8.526512829121202e-14,8.526512829121202e-14
807,42,2.842170943040401e-14,2.842170943040401e-14
808,14,2.1316282072803006e-14,2.1316282072803006e-14
809,76,5.684341886080802e-14,5.684341886080802e-14
810,64,2.842170943040401e-14,2.842170943040401e-14
811,74,1.1368683772161603e-13,1.1368683772161603e-13
812,54,1.4210854715202004e-14,1.4210854715202004e-14
813,29,2.842170943040401e-14,2.842170943040401e-14
814,56,1.4210854715202004e-14,1.4210854715202004e-14
815,12,3.552713678800501e-15,3.552713678800501e-15
